source,target,weight
Hillcrest Dr SE at Six Flags Pkwy,Six Flags Pkwy SW at Silver Arrow Cir,0.332
Cherokee St at Lawrence St,Cherokee St at Forest Ave,0.185
Cherokee St at Forest Ave,Cherokee St at Blackwell St,0.099
Cherokee St at Blackwell St,Cherokee St at Montgomery St,0.157
Cherokee St at Montgomery St,Cherokee St at Freyer Rd,0.25
Cherokee St at Freyer Rd,Cherokee St at Chicopee Dr,0.153
Cherokee St at Chicopee Dr,Cherokee St at Canton Rd,0.204
Cherokee St at Canton Rd,Cherokee St at Lewis Dr,0.12
Cherokee St at Lewis Dr,Church St Ext at Elizabeth St,0.34
Church St Ext at Elizabeth St,Church St Ext at Cobb Emc Pkwy,0.22
Church St Ext at Elizabeth St,Church St at Vann St,0.165
Church St Ext at Cobb Emc Pkwy,Church St Ext at Loudermilk Dr,0.191
Church St Ext at Loudermilk Dr,Bells Ferry Rd at Old 41 Hwy,0.123
Church St Ext at Loudermilk Dr,Church St Ext at Elizabeth St,0.41
Bells Ferry Rd at Old 41 Hwy,Bells Ferry Rd at Cobb Pkwy,0.165
Bells Ferry Rd at Cobb Pkwy,Bells Ferry Rd at Old Bells Ferry Rd,0.194
Bells Ferry Rd at Cobb Pkwy,Church St Ext at Loudermilk Dr,0.245
Bells Ferry Rd at Old Bells Ferry Rd,Bells Ferry Rd at Adair Dr,0.148
Bells Ferry Rd at Adair Dr,Bells Ferry Rd at Dickson Rd,0.112
Bells Ferry Rd at Dickson Rd,Bells Ferry Rd at Manuel Dr,0.239
Bells Ferry Rd at Manuel Dr,Bells Ferry Rd at Bridgestone Dr,0.225
Bells Ferry Rd at Manuel Dr,Bells Ferry Rd at Turner Rd,0.202
Bells Ferry Rd at Bridgestone Dr,Bells Ferry Rd at Oak Harbor Trl,0.269
Bells Ferry Rd at Bridgestone Dr,Bells Ferry Rd at Manuel Dr,0.225
Bells Ferry Rd at Oak Harbor Trl,Bells Ferry Rd at Mark Ave,0.089
Bells Ferry Rd at Oak Harbor Trl,Bells Ferry Rd at Bridgestone Dr,0.269
Bells Ferry Rd at Mark Ave,Bells Ferry Rd at Arnold Ave,0.254
Bells Ferry Rd at Arnold Ave,Bells Ferry Rd at Skip Wells Park,0.363
Bells Ferry Rd at Arnold Ave,Bells Ferry Rd at Laurel Hills Preserve,0.148
Bells Ferry Rd at Skip Wells Park,Bells Ferry Rd at Bristol Ln,0.233
Bells Ferry Rd at Bristol Ln,Bells Ferry Rd at Highoak Dr,0.189
Bells Ferry Rd at Bristol Ln,Bells Ferry Rd at Arnold Ave,0.592
Bells Ferry Rd at Highoak Dr,Barrett Pkwy at Prado Ln,0.213
Barrett Pkwy at Prado Ln,Barrett Pkwy at Chastain Meadows Pkwy,0.2
Barrett Pkwy at Chastain Meadows Pkwy,Barrett Pkwy at Busbee Pkwy,0.514
Barrett Pkwy at Busbee Pkwy,Busbee Pkwy at Town Center Dr,0.688
Busbee Pkwy at Town Center Dr,Ring Rd at Jc Penney Entrance,0.255
Busbee Pkwy at Town Center Dr,Busbee Pkwy at Garden Ridge,0.097
Busbee Pkwy at Town Center Dr,Barrett Pkwy at Cobb Place Blvd,1.05
Busbee Pkwy at Town Center Dr,Barrett Pkwy at Mall Blvd,0.672
Ring Rd at Jc Penney Entrance,Busbee Pkwy at Town Center Dr,0.255
Busbee Pkwy at Garden Ridge,Busbee Pkwy at Big Shanty Rd,0.232
Busbee Pkwy at Big Shanty Rd,Busbee Park-N-Ride,0.227
Busbee Pkwy at Big Shanty Rd,Busbee Pkwy at PGA Superstore,0.125
Busbee Dr at KSU Center,Busbee Dr at Townpark Ln,0.299
Busbee Dr at KSU Center,Busbee Park-N-Ride,0.244
Busbee Dr at Townpark Ln,Frey Rd at Campus Loop,0.532
Busbee Dr at Townpark Ln,Busbee Dr at KSU Center,0.299
Busbee Pkwy at PGA Superstore,Busbee Pkwy at Town Center Dr,0.204
Barrett Pkwy at Cobb Place Blvd,Barrett Pkwy at Barrett Lakes Blvd,0.304
Barrett Pkwy at Cobb Place Blvd,Busbee Pkwy at Town Center Dr,1.05
Barrett Pkwy at Barrett Lakes Blvd,Roberts Blvd at Cobb Place Blvd,0.6
Barrett Pkwy at Barrett Lakes Blvd,Barrett Pkwy at Cobb Place Blvd,0.304
Roberts Blvd at Cobb Place Blvd,Vaughn Rd at Bentley Pl,0.239
Roberts Blvd at Cobb Place Blvd,Barrett Pkwy at Barrett Lakes Blvd,0.6
Vaughn Rd at Bentley Pl,Vaughn Rd at Barrett Corners Dr,0.102
Vaughn Rd at Barrett Corners Dr,Cobb Pkwy at Barrett Pkwy,0.355
Cobb Pkwy at Barrett Pkwy,Cobb Pkwy at White Circle,0.967
Cobb Pkwy at Barrett Pkwy,Vaughn Rd at Cobb Pkwy,0.355
Cobb Pkwy at White Circle,Cobb Pkwy at Pete Scoggin Pkwy,0.315
Cobb Pkwy at Pete Scoggin Pkwy,Cobb Pkwy at Bells Ferry Rd,0.608
Cobb Pkwy at Bells Ferry Rd,Cobb Pkwy at Elizabeth Church Rd,0.47
Cobb Pkwy at Bells Ferry Rd,Cobb Pkwy at White Cir,0.646
Cobb Pkwy at Elizabeth Church Rd,Cobb Pkwy at Industrial Park Dr,0.904
Cobb Pkwy at Industrial Park Dr,Cobb Pkwy at Industrial Park Dr,0.0
Cobb Pkwy at Industrial Park Dr,Cobb Pkwy at Allgood Rd,0.191
Cobb Pkwy at Industrial Park Dr,Cobb Pkwy at Kennestone Circle,0.993
Cobb Pkwy at Allgood Rd,Cobb Pkwy at Abc Recycling,0.257
Cobb Pkwy at Abc Recycling,Cobb Pkwy at Seminole Dr,0.181
Cobb Pkwy at Seminole Dr,Cobb Pkwy at N Marietta Pkwy,0.212
Cobb Pkwy at N Marietta Pkwy,N Marietta Pkwy at Amy Dr,0.278
Cobb Pkwy at N Marietta Pkwy,Cobb Pkwy at Seminole Pl,0.201
N Marietta Pkwy at Amy Dr,Fairground St at Rigby St,0.2
N Marietta Pkwy at Amy Dr,Cobb Pkwy at N Marietta Pkwy,0.278
Fairground St at Rigby St,Fairground St at Lawrence St,0.194
Fairground St at Rigby St,N Marietta Pkwy at Fairground St,0.162
Fairground St at Lawrence St,Fairground St at Pierce St,0.326
Cumberland Blvd at Residence Inn Loop,Cumberland Blvd at Spring Rd,0.072
Cumberland Blvd at Spring Rd,Cobb Pkwy at Windy Ridge Pkwy,0.197
Cobb Pkwy at Herodian Way,Cobb Pkwy at Kenwood Creek,0.303
Cobb Pkwy at Kenwood Creek,Cobb Pkwy at Lake Park Dr,0.225
Cobb Pkwy at Ed Voyles Honda,Cobb Pkwy at Windy Hill Rd,0.082
Cobb Pkwy at After Cumberland Pt Dr,Cobb Pkwy at Davis Ln,0.161
Cobb Pkwy at Davis Ln,Cobb Pkwy at Franklin Rd,0.172
Cobb Pkwy at Ga 280 Delk On-Ramp,Cobb Pkwy at Spinks Dr,0.373
Cobb Pkwy at Barclay Cir,Cobb Pkwy at After Barclay Circle,0.145
Cobb Pkwy at After Barclay Circle,Cobb Pkwy at New Hope Rd,0.317
Cobb Pkwy at New Hope Rd,Cobb Pkwy at Amf Marietta Lanes,0.177
Cobb Pkwy at Amf Marietta Lanes,S Marietta Pkwy at Martin Ct,0.428
S Marietta Pkwy at Lockheed Ave,S Marietta Pkwy at Lake Dr,0.177
S Marietta Pkwy at Lake Dr,Marietta Transfer Center,0.216
Fairground St at Fort St,Fairground St at Rigby St,0.181
N Marietta Pkwy at Fairground St,N Marietta Pkwy at Amy Dr,0.141
Cobb Pkwy at Seminole Pl,Cobb Pkwy at Seminole Pl,0.0
Cobb Pkwy at Seminole Pl,Cobb Pkwy at Industrial Park Dr,0.641
Cobb Pkwy at Kennestone Circle,Cobb Pkwy at Bells Ferry Rd,0.383
Cobb Pkwy at White Cir,Cobb Pkwy at White Cir,0.0
Cobb Pkwy at White Cir,Cobb Pkwy at Barrett Pkwy,1.234
Vaughn Rd at Cobb Pkwy,Vaughn Rd at Roberts Blvd,0.161
Vaughn Rd at Roberts Blvd,Roberts Blvd at Cobb Place Blvd,0.207
Barrett Pkwy at Mall Blvd,Barrett Pkwy at Barrett Creek Dr,0.369
Barrett Pkwy at Barrett Creek Dr,Barrett Pkwy at Bells Ferry Rd,0.343
Barrett Pkwy at Bells Ferry Rd,Bells Ferry Rd at Barrett Pkwy,0.096
Bells Ferry Rd at Barrett Pkwy,Bells Ferry Rd at Bristol Ln,0.204
Bells Ferry Rd at Laurel Hills Preserve,Bells Ferry Rd at Oak Harbor Trl,0.194
Bells Ferry Rd at Turner Rd,Bells Ferry Rd at Cottage Way,0.158
Bells Ferry Rd at Cottage Way,Bells Ferry Rd at Field Pkwy,0.157
Bells Ferry Rd at Field Pkwy,Bells Ferry Rd at Cobb Pkwy,0.178
Church St at Vann St,Church St at Whitcher St,0.204
Church St at Whitcher St,Church St at Hillside Ave,0.263
Church St at Hillside Ave,Church St at Sessions St,0.288
Church St at Sessions St,Church St at Kennesaw Ave,0.282
Church St at Kennesaw Ave,Roswell St at Anderson St,0.423
Civic Center Station (West Peachtreet Street),Peachtree St at Baker St,0.243
Civic Center Station (West Peachtreet Street),North Avenue Station (West Peachtree Street),0.4
Civic Center Station (West Peachtreet Street),Peachtree Street at Baker Street,0.243
Civic Center Station (West Peachtreet Street),Sugarloaf Mills P&R,22.998
Civic Center Station (West Peachtreet Street),I-985 @ SR20 P&R,31.492
Civic Center Station (West Peachtreet Street),I-85 @ Indian Trail P&R,16.613
Civic Center Station (West Peachtreet Street),Check Point 4,1.762
Courtland Street at Gilmer St,Washington Street at Martin Luther King Junior Drive,0.239
Washington Street at Martin Luther King Junior Drive,Martin Luther King Junior Drive at Peachtree Street,0.225
Washington Street at Martin Luther King Junior Drive,Martin Luther King Jr Dr & Peachtree St,0.224
Martin Luther King Junior Drive at Peachtree Street,MLK Jr Dr at Forsyth St,0.11
Martin Luther King Junior Drive at Peachtree Street,Martin Luther King Jr. Federal Building,0.13
Martin Luther King Junior Drive at Peachtree Street,Forsyth Street at Martin Luther King Junior Drive,0.13
MLK Jr Dr at Forsyth St,Five Points Station (Forsyth Street at Alabama Street),0.1
Five Points Station (Forsyth Street at Alabama Street),Marietta Street Northwest at Ted Turner Drive,0.197
Five Points Station (Forsyth Street at Alabama Street),Forsyth Street at Martin Luther King Junior Drive,0.149
Marietta Street Northwest at Ted Turner Drive,Spring St at Luckie St,0.139
Spring St at Luckie St,Spring St at John Portman Blvd,0.217
Spring St at John Portman Blvd,Spring St at Baker St,0.077
Spring St at Baker St,Ted Turner Drive at West Peachtree Place,0.121
Ted Turner Drive at West Peachtree Place,Civic Center Station (West Peachtreet Street),0.17
Acworth Park & Ride,17th Street Northwest at Village Street,24.628
West Peachtree St at 14Th St,Arts Center Station,0.16
Centennial Olympic Park Dr at Andrew Young Intl Bl,Marietta St at Ted Turner Dr,0.205
Marietta St at Ted Turner Dr,Marietta Street Northwest at Fairlie Street Northwest,0.128
Marietta Street Northwest at Fairlie Street Northwest,Five Points Station (Forsyth Street at Alabama Street),0.126
Forsyth Street at Martin Luther King Junior Drive,Central Ave at Wall St,0.318
Forsyth Street at Martin Luther King Junior Drive,Mitchell Street Southwest at Central Avenue Southwest,0.254
Forsyth Street at Martin Luther King Junior Drive,Central Avenue at Wall Street,0.318
Forsyth Street at Martin Luther King Junior Drive,Central Avenue at Martin Luther King Junior Drive,0.271
North Avenue Station (West Peachtree Street),West Peachtree St at 3Rd St,0.116
North Avenue Station (West Peachtree Street),West Peachtree Street at Peachtree Place,0.603
West Peachtree St at 3Rd St,West Peachtree St at 4th St,0.089
West Peachtree St at 4th St,West Peachtree St at 5th St,0.089
West Peachtree Street at Peachtree Place,10th Street Northeast at Williams Street,0.179
West Peachtree Street at Peachtree Place,West Peachtree Street at 14th Street,0.465
10th Street Northeast at Williams Street,Marietta Transfer Center,13.643
10th Street Northeast at Williams Street,Busbee Park-N-Ride,19.994
Gresham Rd at Woolco Dr Tt,Cobb Pkwy at Marietta Trade Center,0.651
Sugarloaf Mills P&R,Civic Center Station (West Peachtreet Street),22.998
Sugarloaf Mills P&R,I-85 @ Indian Trail P&R,6.422
Sugarloaf Mills P&R,1762 Clifton Road,18.963
Sugarloaf Mills P&R,I-985 @ SR20 P&R,8.66
Peachtree Street at Baker Street,John Portman Blvd @ Peachtree Center Ave,0.156
John Portman Blvd @ Peachtree Center Ave,Courtland Street at Ellis Street,0.182
Courtland Street at Ellis Street,Courtland Street at Auburn Avenue,0.179
Courtland Street at Auburn Avenue,Courtland Street at Gilmer St,0.211
Martin Luther King Jr Dr & Peachtree St,Forsyth Street at Martin Luther King Junior Drive,0.131
I-85 @ Indian Trail P&R,1762 Clifton Road,12.594
I-85 @ Indian Trail P&R,Civic Center Station (West Peachtreet Street),16.613
I-85 @ Indian Trail P&R,Sugarloaf Mills P&R,6.422
1762 Clifton Road,Clifton Road at Clifton Way,0.26
Clifton Road at Clifton Way,Clifton Road at Houston Mill Road,0.214
Clifton Road at Houston Mill Road,Woodruff Circle Emory,0.395
Woodruff Circle Emory,I-85 @ Indian Trail P&R,12.612
Woodruff Circle Emory,Sugarloaf Mills P&R,18.93
Gwinnett Transit Center,Satellite Blvd & Satellite Shops,0.294
Gwinnett Transit Center,Satellite Blvd & Quicktrip OB,0.097
Satellite Blvd & Satellite Shops,Satellite Blvd & Tandy Key Ln,0.104
Satellite Blvd & Tandy Key Ln,Satellite Blvd & Golden Corral,0.125
Satellite Blvd & Golden Corral,Satellite Blvd & Gwinnett Place Ford,0.214
Satellite Blvd & Gwinnett Place Ford,Old Norcross Rd & Breckinridge Blvd(WF),0.477
Satellite Blvd & Gwinnett Place Ford,Satellite Blvd & Enterprise Dealer IB,0.301
Old Norcross Rd & Breckinridge Blvd(WF),Breckinridge Blvd & Marcos Pizza OB,0.123
Old Norcross Rd & Breckinridge Blvd(WF),Old Norcross Rd at Gwinnett Clinic,0.153
Breckinridge Blvd & Marcos Pizza OB,Breckinridge Blvd & Arlon Ln OB,0.351
Breckinridge Blvd & Arlon Ln OB,3350 Breckinridge Blvd (across),0.126
3350 Breckinridge Blvd (across),Centerview Dr & Ferguson Elementary OB,0.338
Centerview Dr & Ferguson Elementary OB,Koger Blvd & Devry University OB,0.124
Koger Blvd & Devry University OB,Koger Blvd & St Leo University OB,0.082
Koger Blvd & St Leo University OB,Pleasant Hill Rd & Popeyes OB,0.176
Pleasant Hill Rd & Popeyes OB,Sweetwater Rd & Pleasant Hill Rd,0.207
Sweetwater Rd & Pleasant Hill Rd,Sweetwater Rd & Club Drive OB,0.133
Sweetwater Rd & Club Drive OB,Club Dr & Crestwood Pkwy OB,0.3
Club Dr & Crestwood Pkwy OB,Club Dr & Steve Reynolds Blvd OB,0.178
Club Dr & Steve Reynolds Blvd OB,Club Dr & Shackleford Rd,0.285
Club Dr & Shackleford Rd,Shackleford Rd & Corporate Dr OB,0.316
Club Dr & Shackleford Rd,Club Dr & Steve Reynolds Blvd,0.306
Shackleford Rd & Corporate Dr OB,Shackleford Rd & Doan Way OB,0.165
Shackleford Rd & Doan Way OB,Shackleford Rd & Park Dr,0.138
Shackleford Rd & Park Dr,Park Dr & Gwinnett Park Sign (across),0.192
Park Dr & Gwinnett Park Sign (across),Park Dr & Beaver Ruin Rd OB,0.282
Park Dr & Beaver Ruin Rd OB,Beaver Ruin Rd & Shell Gas Station,0.092
Beaver Ruin Rd & Shell Gas Station,Steve Reynolds Blvd & Beaver Ruin Rd,0.345
Steve Reynolds Blvd & Beaver Ruin Rd,Steve Reynolds Blvd & Fire Station OB,0.423
Steve Reynolds Blvd & Fire Station OB,Steve Reynolds Blvd & Falling Water Ln O,0.539
Steve Reynolds Blvd & Falling Water Ln O,Steve Reynolds Blvd & Oak Loch Tr,0.218
Steve Reynolds Blvd & Oak Loch Tr,Steve Reynolds Blvd & Hillcrest Ct OB,0.26
Steve Reynolds Blvd & Hillcrest Ct OB,Singleton Rd & Texaco Gas Station,0.257
Singleton Rd & Texaco Gas Station,Tech Dr & Chevron Gas Station,0.099
Tech Dr & Chevron Gas Station,Indian Trail Rd & Checks Cashed Bldg,0.162
Tech Dr & Chevron Gas Station,Indian Trail Rd & Le's Auto Repair,0.153
Indian Trail Rd & Checks Cashed Bldg,Indian Trail Rd & Sterling Glen OB,0.211
Indian Trail Rd & Sterling Glen OB,Indian Trail Rd & Indian Way,0.208
Indian Trail Rd & Indian Way,Indian Trail Rd & Market Center,0.237
Indian Trail Rd & Market Center,Burns Rd & Jodeco Rd,0.414
Burns Rd & Jodeco Rd,Burns Rd & Jacksons Mill Way,0.224
Burns Rd & Jacksons Mill Way,Burns Rd & Springwood Dr,0.128
Burns Rd & Springwood Dr,Burns Rd & Beaver Ruin Rd (Chevron),0.62
Burns Rd & Beaver Ruin Rd (Chevron),Burns Rd & Shady Dr (across),0.233
Burns Rd & Shady Dr (across),Burns Rd & Walking Ln (past),0.19
Burns Rd & Walking Ln (past),Burns Rd &  Garner Way,0.242
Burns Rd &  Garner Way,Burns Rd & Johns Way,0.247
Burns Rd & Johns Way,Burns Rd & Pleasant Hill Rd OB,0.235
Burns Rd & Pleasant Hill Rd OB,Pleasant Hill Rd & Lawrenceville Hwy OB,0.276
Pleasant Hill Rd & Lawrenceville Hwy OB,Lawrenceville Hwy & PepBoys,0.164
Lawrenceville Hwy & PepBoys,Lawrenceville Hwy & Don Pedro OB,0.198
Lawrenceville Hwy & Don Pedro OB,Lawrenceville Hwy & Popeyes OB,0.138
Lawrenceville Hwy & Popeyes OB,Lawrenceville Hwy & Beaver Ruin Rd OB,0.237
Lawrenceville Hwy & Beaver Ruin Rd OB,Lawrenceville Hwy& Berkmar Middle Sch OB,0.26
Lawrenceville Hwy& Berkmar Middle Sch OB,Lawrenceville Hwy & Merchants Walk OB,0.272
Lawrenceville Hwy & Merchants Walk OB,Lawrenceville Hwy & Providence,0.155
Lawrenceville Hwy & Providence,Lawrenceville Hwy & Wynne Russell Dr,0.262
Lawrenceville Hwy & Wynne Russell Dr,Lawrenceville Hwy & Indian Trail Rd,0.284
Lawrenceville Hwy & Indian Trail Rd,Lawrenceville Hwy & Hillcrest Rd OB,0.147
Lawrenceville Hwy & Hillcrest Rd OB,Lawrenceville Hwy & Shell/Lilburn Animal,0.286
Lawrenceville Hwy & Shell/Lilburn Animal,Lawrenceville Hwy & Bryson Park OB,0.197
Lawrenceville Hwy & Bryson Park OB,Lawrenceville Hwy & Lilburn School Rd OB,0.201
Lawrenceville Hwy & Lilburn School Rd OB,Lawrenceville Hwy & Harbins Rd OB,0.228
Lawrenceville Hwy & Harbins Rd OB,Lawrenceville Hwy & Exxon Gas Station,0.219
Lawrenceville Hwy & Exxon Gas Station,Lawrenceville Hwy & Rockbridge Rd (Walgr,0.298
Lawrenceville Hwy & Rockbridge Rd (Walgr,Lawrenceville Hwy & Harmony Grove Rd OB,0.241
Lawrenceville Hwy & Harmony Grove Rd OB,Lawrenceville Hwy & Jordan Drive OB,0.253
Lawrenceville Hwy & Jordan Drive OB,Lawrenceville Hwy & Kenvilla Dr OB,0.231
Lawrenceville Hwy & Kenvilla Dr OB,Lawrenceville Hwy & KED Plasma US OB,0.373
Lawrenceville Hwy & KED Plasma US OB,Lawrenceville Hwy & Linda Dr,0.106
Lawrenceville Hwy & Linda Dr,Lawrenceville Hwy & Braxton Pl,0.228
Lawrenceville Hwy & Braxton Pl,Lawrenceville Hwy & Stone Center OB,0.189
Lawrenceville Hwy & Stone Center OB,Lawrenceville Hwy & Citgo Gas Station,0.278
Lawrenceville Hwy & Citgo Gas Station,Jimmy Carter Blvd & Home Depot,0.164
Jimmy Carter Blvd & Home Depot,Jimmy Carter Blvd & Mr. Clean Carwash,0.174
Jimmy Carter Blvd & Mr. Clean Carwash,Jimmy Carter Blvd & Everest Tr OB,0.406
Jimmy Carter Blvd & Everest Tr OB,Jimmy Carter Blvd & Wandering Way,0.22
Jimmy Carter Blvd & Wandering Way,Jimmy Carter Blvd & Williams Rd,0.307
Jimmy Carter Blvd & Wandering Way,Jimmy Carter Blvd & Everest Tr,0.166
Jimmy Carter Blvd & Williams Rd,Jimmy Carter Blvd & Meadowbrook Dr OB,0.247
Jimmy Carter Blvd & Meadowbrook Dr OB,Jimmy Carter Blvd & NAPA,0.337
Jimmy Carter Blvd & NAPA,Jimmy Carter Blvd & WalMart OB,0.141
Jimmy Carter Blvd & WalMart OB,Jimmy Carter Blvd & Rockbridge School Rd,0.234
Jimmy Carter Blvd & Rockbridge School Rd,Jimmy Carter Blvd & Tracey Valley Dr,0.266
Jimmy Carter Blvd & Tracey Valley Dr,Jimmy Carter Blvd & Dunkin Donuts OB,0.371
Jimmy Carter Blvd & Dunkin Donuts OB,Live Oak Pkwy & Wells Fargo Bank,0.229
Live Oak Pkwy & Wells Fargo Bank,Live Oak Pkwy & Thompson Pkwy OB,0.144
Live Oak Pkwy & Thompson Pkwy OB,Thompson Pkwy & Singleton Rd IB,0.101
Peachtree Pkwy & Quicktrip IBOB (End of ,Peachtree Pkwy & Residence Inn Hotel,0.196
Peachtree Pkwy & Residence Inn Hotel,Peachtree Pkwy & Triangle Dr,0.109
Peachtree Pkwy & Triangle Dr,Triangle Pkwy & Triangle Dr,0.076
Triangle Pkwy & Triangle Dr,Data Drive at Vital Solutions,0.19
Data Drive at Vital Solutions,Spalding Dr & Bank of America,0.359
Spalding Dr & Bank of America,Spalding Dr & Technology Pkwy,0.173
Spalding Dr & Technology Pkwy,Spalding Dr & Norcross HS (bfr light),0.149
Spalding Dr & Norcross HS (bfr light),Spalding Dr & Medlock Bridge Rd (Citgo) ,0.399
Spalding Dr & Medlock Bridge Rd (Citgo) ,Medlock Bridge Rd & Medlock Corners Dr,0.343
Medlock Bridge Rd & Medlock Corners Dr,Medlock Bridge Rd & Chevron Gas Station,0.107
Medlock Bridge Rd & Chevron Gas Station,Medlock Bridge Rd & Thai Star Restaurant,0.141
Medlock Bridge Rd & Thai Star Restaurant,Medlock Bridge Rd & Animal Hospital,0.2
Medlock Bridge Rd & Animal Hospital,N Peachtree St & Reps Miller Road,0.211
N Peachtree St & Reps Miller Road,Reps Miller Rd & Wyngate (Reps Ln),0.206
Reps Miller Rd & Wyngate (Reps Ln),3119 Reps Miller Rd Office Park,0.174
3119 Reps Miller Rd Office Park,Reps Miller Rd & Race Track,0.214
Reps Miller Rd & Race Track,Peachtree Industrial Rd & ADVA OB,0.146
Peachtree Industrial Rd & ADVA OB,Peachtree Industrial Rd & DIVOTS Sportsw,0.158
Peachtree Industrial Rd & DIVOTS Sportsw,P'tree Ind Blvd & Peachtree Corners Cir ,0.202
P'tree Ind Blvd & Peachtree Corners Cir ,Peachtree Industrail Blvd & Target Plaza,0.268
Peachtree Industrail Blvd & Target Plaza,Holcomb Bridge Rd & Bank of America OB,0.157
Holcomb Bridge Rd & Bank of America OB,Holcomb Bridge Rd & Ryan Rd,0.249
Holcomb Bridge Rd & Ryan Rd,Holcomb Bridge Rd & The Corners Pkwy OB,0.154
Holcomb Bridge Rd & The Corners Pkwy OB,Holcomb Bridge Rd & Citgo Gas Station,0.183
Holcomb Bridge Rd & Citgo Gas Station,Holcomb Bridge Rd & Gwinnett Walk Plaza,0.092
Holcomb Bridge Rd & Gwinnett Walk Plaza,Holcomb Bridge Rd & Woodmont Land Apts,0.124
Holcomb Bridge Rd & Woodmont Land Apts,Holcomb Bridge Rd & Woodland Rd OB,0.126
Holcomb Bridge Rd & Woodland Rd OB,Holcomb Bridge Rd & Peachtree Corners Ci,0.168
Holcomb Bridge Rd & Peachtree Corners Ci,Peachtree Corners Cir & Pineland Woods D,0.104
Peachtree Corners Cir & Pineland Woods D,Peachtree Corners Cir & Westchase Villge,0.087
Peachtree Corners Cir & Westchase Villge,Peachtree Corners Cir & Elmside Villg Ln,0.122
Peachtree Corners Cir & Elmside Villg Ln,Peachtree Corners Cir & Klinect Court (a,0.157
Peachtree Corners Cir & Klinect Court (a,Peachtree Corners Cir& Springs Ln,0.124
Peachtree Corners Cir& Springs Ln,Peachtree Corners Cir & Parton Ct OB,0.088
Peachtree Corners Cir & Parton Ct OB,Peachtree Corners Cir & Autumn Trace Dr,0.155
Peachtree Corners Cir & Autumn Trace Dr,Peachtree Corners Cir & Jones Mill Spur ,0.151
Peachtree Corners Cir & Jones Mill Spur ,Peachtree Corners Cir & Jones Mill Ct,0.069
Peachtree Corners Cir & Jones Mill Spur ,Peachtree Corners Cir & Gleanleaf Dr IB,0.164
Peachtree Corners Cir & Jones Mill Ct,Peachtree Corners Cir & Corners Ind Cir,0.146
Peachtree Corners Cir & Corners Ind Cir,Peachtree Corners Cir & Muray's,0.128
Peachtree Corners Cir & Muray's,Jones Mill Rd & Bay Cir OB,0.2
Jones Mill Rd & Bay Cir OB,Governor's Lake Pkwy & Veritiv OB,0.477
Governor's Lake Pkwy & Veritiv OB,Governor's Lake Pkwy (crosswalk),0.209
Governor's Lake Pkwy (crosswalk),Peachtree Industrial Blvd & Kingston Ct,0.681
Peachtree Industrial Blvd & Kingston Ct,Jimmy Carter Blvd & Cash Ct,0.283
Jimmy Carter Blvd & Cash Ct,Jimmy Carter Blvd & MJays Baked Foods,0.135
Jimmy Carter Blvd & MJays Baked Foods,Jimmy Carter Blvd & Atlantic Blvd,0.104
Jimmy Carter Blvd & Atlantic Blvd,Jimmy Carter Blvd & Panda Cab & Granite ,0.154
Jimmy Carter Blvd & Atlantic Blvd,Jimmy Carter Blvd & Veridian Bus Park,0.101
